,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
0,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2019-0002570001,2019-10-30,CON ARCHIVO (PRELIMINAR),CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
1,"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",SOMOS PERÚ,LIMA,FISCALIA PROVINCIAL ESPECIALIZADA EN MATERIA AMBIENTAL - SEDE HUARAZ,01306015200-2019-0002010000,2019-10-29,EN INVESTIGACION PREVENTIVA,RESPONSABILIDAD DE SERVIDOR PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS
2,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2019-0002640001,2019-10-16,CON ARCHIVO (CALIFICA),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
3,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,1 FISCALIA ESPECIALIZADA EN PREVENCION DEL DELITO-LIMA NORTE,00606010901-2019-0012610000,2019-10-09,NO HA LUGAR,ABUSO DE AUTORIDAD
4,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2019-0002640000,2019-09-25,DENUNCIA PENDIENTE,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
5,"SIMEÓN HURTADO, LUIS CARLOS",ACCIÓN POPULAR,PASCO,50 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010150-2019-0005530000,2019-06-26,DENUNCIA PENDIENTE,ESTAFA
6,"BARRIONUEVO ROMERO, BETTO",SOMOS PERÚ,ANCASH,6 FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ ,01306014504-2019-0006300000,2019-06-25,EN CALIFICACION (CALIFICA),OMISION ILEGAL DE ACTO DE SU CARGO
7,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,2 FISCALIA SUPERIOR PENAL DE LIQUIDACION DE PIURA,02606065500-2015-0003690002,2019-06-14,CONSULTA RESUELTA,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
8,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,1 FISCALIA PROVINCIAL PENAL DE SURQUILLO,00506150101-2019-0005970000,2019-05-30,DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
9,"BAZÁN VILLANUEVA, LENIN FERNANDO",FRENTE AMPLIO,LA LIBERTAD,FISCALIA SUPERIOR MIXTA DE SANCHEZ CARRION,02305090600-2019-0000160000,2019-05-27,DENUNCIA PENDIENTE,GRAVE PERTURBACION DE LA TRANQUILIDAD PUBLICA (USANDO CUALQUIER MEDIO RAZONABLE CAPAZ DE PRODUCIR AL
10,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,1 FISCALIA PROVINCIAL PREVENCION DEL DELITO,00507010951-2019-0008480000,2019-05-23,DERIVADO,DELITO CONTRA LA SEGURIDAD PUBLICA
11,"GUPIOC RIOS, ROBINSON DOCITEO",PODEMOS,LIMA,57 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010157-2019-0004220000,2019-05-23,ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
12,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,2 FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LIMA,00506015506-2019-0001900001,2019-05-10,CON ARCHIVO (CALIFICA),CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
13,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,2 FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LIMA,00506015506-2019-0001900000,2019-05-10,FORMALIZA INVESTIGACION PREPARATORIA,CONTRA LOS DERECHOS AL SUFRAGIO (IMPEDIMENTO DE DESIGNACION DE MIEMBRO DE JURADO ELECTORAL ESPECIAL)
14,"TROYES DELGADO, HANS",ACCIÓN POPULAR,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2019-0001210000,2019-03-29,DENUNCIA PENDIENTE,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
15,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2019-0000690000,2019-03-29,DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
16,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2019-0000700000,2019-03-29,DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
17,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2019-0006830000,2019-03-25,DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
18,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - LA LIBERTAD,02306015500-2016-0001350001,2019-03-22,CON SOBRESEIMIENTO,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
19,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA SUPERIOR ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LORETO,02506015500-2015-0001870002,2019-03-21,CONSULTA RESUELTA,ABUSO DE AUTORIDAD (OMISION ILEGAL DE ACTO DE SU CARGO)
